date,city,substance,units,items
202102,Manchester,Colecalciferol,40000,10.0
202102,Manchester,Colecalciferol,440,15.0
202102,Manchester,Colecalciferol,5000,5.0
202102,Manchester,Colecalciferol,50000,37.0
202102,Manchester,Colecalciferol,5600,7.0
202102,Manchester,Colecalciferol,600,2.0
202102,Manchester,Colecalciferol,800,1565.0
202102,Manchester,Colecalciferol,880,399.0
202102,Manchester,Colecalciferol,unknown,5072.0
202102,Middlesbrough,Colecalciferol,1000,32.0
202102,Middlesbrough,Colecalciferol,10000,2.0
202102,Middlesbrough,Colecalciferol,200,70.0
202102,Middlesbrough,Colecalciferol,2000,1.0
202102,Middlesbrough,Colecalciferol,20000,16.0
202102,Middlesbrough,Colecalciferol,2400,1.0
202102,Middlesbrough,Colecalciferol,25000,1.0
202102,Middlesbrough,Colecalciferol,3000,1.0
202102,Middlesbrough,Colecalciferol,3200,1.0
202102,Middlesbrough,Colecalciferol,400,171.0
202102,Middlesbrough,Colecalciferol,5000,2.0
202102,Middlesbrough,Colecalciferol,800,254.0
202102,Middlesbrough,Colecalciferol,unknown,149.0
202102,Newcastle upon Tyne,Colecalciferol,1000,19.0
202102,Newcastle upon Tyne,Colecalciferol,10000,1.0
202102,Newcastle upon Tyne,Colecalciferol,15000,1.0
202102,Newcastle upon Tyne,Colecalciferol,200,226.0
202102,Newcastle upon Tyne,Colecalciferol,2000,5.0
202102,Newcastle upon Tyne,Colecalciferol,20000,155.0
202102,Newcastle upon Tyne,Colecalciferol,2400,2.0
202102,Newcastle upon Tyne,Colecalciferol,25000,4.0
202102,Newcastle upon Tyne,Colecalciferol,2740,13.0
202102,Newcastle upon Tyne,Colecalciferol,3200,1.0
202102,Newcastle upon Tyne,Colecalciferol,400,1458.0
202102,Newcastle upon Tyne,Colecalciferol,440,4.0
202102,Newcastle upon Tyne,Colecalciferol,800,3538.0
202102,Newcastle upon Tyne,Colecalciferol,880,9.0
202102,Newcastle upon Tyne,Colecalciferol,unknown,719.0
202102,Nottingham,Colecalciferol,1000,1573.0
202102,Nottingham,Colecalciferol,10000,5.0
202102,Nottingham,Colecalciferol,200,635.0
202102,Nottingham,Colecalciferol,2000,8.0
202102,Nottingham,Colecalciferol,20000,92.0
202102,Nottingham,Colecalciferol,2200,2.0
202102,Nottingham,Colecalciferol,2400,4.0
202102,Nottingham,Colecalciferol,25000,90.0
202102,Nottingham,Colecalciferol,2740,31.0
202102,Nottingham,Colecalciferol,3000,3.0
202102,Nottingham,Colecalciferol,3200,15.0
202102,Nottingham,Colecalciferol,400,673.0
202102,Nottingham,Colecalciferol,4000,4.0
202102,Nottingham,Colecalciferol,40000,1.0
202102,Nottingham,Colecalciferol,50000,73.0
202102,Nottingham,Colecalciferol,5600,4.0
202102,Nottingham,Colecalciferol,800,1851.0
202102,Nottingham,Colecalciferol,880,13.0
202102,Nottingham,Colecalciferol,unknown,1092.0
202102,Peterborough,Colecalciferol,1000,1.0
202102,Peterborough,Colecalciferol,200,6.0
202102,Peterborough,Colecalciferol,20000,1.0
202102,Peterborough,Colecalciferol,3200,6.0
202102,Peterborough,Colecalciferol,400,60.0
202102,Peterborough,Colecalciferol,800,10.0
202102,Peterborough,Colecalciferol,880,11.0
202102,Peterborough,Colecalciferol,unknown,26.0
202102,Plymouth,Colecalciferol,1000,38.0
202102,Plymouth,Colecalciferol,10000,3.0
202102,Plymouth,Colecalciferol,200,37.0
202102,Plymouth,Colecalciferol,2000,3.0
202102,Plymouth,Colecalciferol,25000,10.0
202102,Plymouth,Colecalciferol,400,68.0
202102,Plymouth,Colecalciferol,440,1.0
202102,Plymouth,Colecalciferol,800,14.0
202102,Plymouth,Colecalciferol,880,20.0
202102,Plymouth,Colecalciferol,unknown,63.0
202102,Sunderland,Colecalciferol,1000,28.0
202102,Sunderland,Colecalciferol,200,89.0
202102,Sunderland,Colecalciferol,20000,41.0
202102,Sunderland,Colecalciferol,400,66.0
202102,Sunderland,Colecalciferol,800,260.0
202102,Sunderland,Colecalciferol,880,13.0
202102,Sunderland,Colecalciferol,unknown,470.0
202102,York,Colecalciferol,1000,201.0
202102,York,Colecalciferol,10000,12.0
202102,York,Colecalciferol,200,441.0
202102,York,Colecalciferol,2000,6.0
202102,York,Colecalciferol,20000,9.0
202102,York,Colecalciferol,2400,3.0
202102,York,Colecalciferol,25000,41.0
202102,York,Colecalciferol,3000,3.0
202102,York,Colecalciferol,3200,2.0
202102,York,Colecalciferol,400,397.0
202102,York,Colecalciferol,4000,1.0
202102,York,Colecalciferol,440,3.0
202102,York,Colecalciferol,5000,1.0
202102,York,Colecalciferol,50000,9.0
202102,York,Colecalciferol,5600,1.0
202102,York,Colecalciferol,800,565.0
202102,York,Colecalciferol,880,27.0
202102,York,Colecalciferol,unknown,776.0
202103,Birmingham,Colecalciferol,1000,661.0
202103,Birmingham,Colecalciferol,10000,22.0
202103,Birmingham,Colecalciferol,200,2450.0
202103,Birmingham,Colecalciferol,2000,36.0
202103,Birmingham,Colecalciferol,20000,419.0
202103,Birmingham,Colecalciferol,2200,3.0
202103,Birmingham,Colecalciferol,2400,25.0
202103,Birmingham,Colecalciferol,2500,5.0
202103,Birmingham,Colecalciferol,25000,413.0
202103,Birmingham,Colecalciferol,2740,7.0
202103,Birmingham,Colecalciferol,3000,11.0
202103,Birmingham,Colecalciferol,3200,117.0
202103,Birmingham,Colecalciferol,400,1380.0
202103,Birmingham,Colecalciferol,4000,15.0
202103,Birmingham,Colecalciferol,40000,1.0
202103,Birmingham,Colecalciferol,440,11.0
202103,Birmingham,Colecalciferol,5000,7.0
202103,Birmingham,Colecalciferol,50000,592.0
202103,Birmingham,Colecalciferol,5600,9.0
202103,Birmingham,Colecalciferol,600,2.0
202103,Birmingham,Colecalciferol,800,3962.0
202103,Birmingham,Colecalciferol,880,221.0
202103,Birmingham,Colecalciferol,unknown,2340.0
202103,Brighton,Colecalciferol,200,14.0
202103,Brighton,Colecalciferol,20000,4.0
202103,Brighton,Colecalciferol,3200,5.0
