date,city,population
2022-08,Leeds,824667
2022-09,Leeds,825333
2022-10,Leeds,826000
2022-11,Leeds,826667
2022-12,Leeds,827333
2023-01,Leeds,828000
2023-02,Leeds,828667
2023-03,Leeds,829333
2023-04,Leeds,830000
2023-05,Leeds,830667
2023-06,Leeds,831333
2023-07,Leeds,832000
2023-08,Leeds,832667
2023-09,Leeds,833333
2023-10,Leeds,834000
2023-11,Leeds,834667
2023-12,Leeds,835333
2024-01,Leeds,836000
2024-02,Leeds,836750
2024-03,Leeds,837500
2024-04,Leeds,838250
2024-05,Leeds,839000
2024-06,Leeds,839750
2024-07,Leeds,840500
2024-08,Leeds,841250
2024-09,Leeds,842000
2024-10,Leeds,842750
2024-11,Leeds,843500
2024-12,Leeds,844250
2025-12,Leeds,845000
2021-01,Manchester,551900
2021-02,Manchester,552575
2021-03,Manchester,553250
2021-04,Manchester,553925
2021-05,Manchester,554600
2021-06,Manchester,555275
2021-07,Manchester,555950
2021-08,Manchester,556625
2021-09,Manchester,557300
2021-10,Manchester,557975
2021-11,Manchester,558650
2021-12,Manchester,559325
2022-01,Manchester,560000
2022-02,Manchester,560750
2022-03,Manchester,561500
2022-04,Manchester,562250
2022-05,Manchester,563000
2022-06,Manchester,563750
2022-07,Manchester,564500
2022-08,Manchester,565250
2022-09,Manchester,566000
2022-10,Manchester,566750
2022-11,Manchester,567500
2022-12,Manchester,568250
2023-01,Manchester,569000
2023-02,Manchester,569750
2023-03,Manchester,570500
2023-04,Manchester,571250
2023-05,Manchester,572000
2023-06,Manchester,572750
2023-07,Manchester,573500
2023-08,Manchester,574250
2023-09,Manchester,575000
2023-10,Manchester,575750
2023-11,Manchester,576500
2023-12,Manchester,577250
2024-01,Manchester,578000
2024-02,Manchester,578750
2024-03,Manchester,579500
2024-04,Manchester,580250
2024-05,Manchester,581000
2024-06,Manchester,581750
2024-07,Manchester,582500
2024-08,Manchester,583250
2024-09,Manchester,584000
2024-10,Manchester,584750
2024-11,Manchester,585500
2024-12,Manchester,586250
2025-12,Manchester,587000
2021-01,York,202800
2021-02,York,202983
2021-03,York,203167
2021-04,York,203350
2021-05,York,203533
2021-06,York,203717
2021-07,York,203900
2021-08,York,204083
2021-09,York,204267
2021-10,York,204450
2021-11,York,204633
2021-12,York,204817
2022-01,York,205000
2022-02,York,205167
2022-03,York,205333
2022-04,York,205500
2022-05,York,205667
2022-06,York,205833
2022-07,York,206000
2022-08,York,206167
2022-09,York,206333
2022-10,York,206500
2022-11,York,206667
2022-12,York,206833
2023-01,York,207000
2023-02,York,207192
2023-03,York,207384
2023-04,York,207575
2023-05,York,207767
2023-06,York,207959
2023-07,York,208150
2023-08,York,208342
2023-09,York,208534
2023-10,York,208726
2023-11,York,208918
2023-12,York,209109
2024-01,York,209301
2024-02,York,209443
2024-03,York,209584
2024-04,York,209726
2024-05,York,209867
2024-06,York,210009
2024-07,York,210150
2024-08,York,210292
2024-09,York,210434
2024-10,York,210575
2024-11,York,210717
2024-12,York,210858
2025-12,York,211000
2021-01,Newcastle upon Tyne,300100
2021-02,Newcastle upon Tyne,300667
2021-03,Newcastle upon Tyne,301233
2021-04,Newcastle upon Tyne,301800
2021-05,Newcastle upon Tyne,302367
2021-06,Newcastle upon Tyne,302933
2021-07,Newcastle upon Tyne,303500
2021-08,Newcastle upon Tyne,304067
2021-09,Newcastle upon Tyne,304633
2021-10,Newcastle upon Tyne,305200
2021-11,Newcastle upon Tyne,305767
2021-12,Newcastle upon Tyne,306333
2022-01,Newcastle upon Tyne,306900
2022-02,Newcastle upon Tyne,307467
2022-03,Newcastle upon Tyne,308033
2022-04,Newcastle upon Tyne,308600
2022-05,Newcastle upon Tyne,309167
2022-06,Newcastle upon Tyne,309733
2022-07,Newcastle upon Tyne,310300
2022-08,Newcastle upon Tyne,310867
2022-09,Newcastle upon Tyne,311433
2022-10,Newcastle upon Tyne,312000
2022-11,Newcastle upon Tyne,312567
2022-12,Newcastle upon Tyne,313133
2023-01,Newcastle upon Tyne,313700
2023-02,Newcastle upon Tyne,314275
2023-03,Newcastle upon Tyne,314851
2023-04,Newcastle upon Tyne,315426
2023-05,Newcastle upon Tyne,316002
2023-06,Newcastle upon Tyne,316577
2023-07,Newcastle upon Tyne,317152
2023-08,Newcastle upon Tyne,317728
2023-09,Newcastle upon Tyne,318303
2023-10,Newcastle upon Tyne,318879
2023-11,Newcastle upon Tyne,319454
2023-12,Newcastle upon Tyne,320030
2024-01,Newcastle upon Tyne,320605
2024-02,Newcastle upon Tyne,321138
2024-03,Newcastle upon Tyne,321671
2024-04,Newcastle upon Tyne,322204
2024-05,Newcastle upon Tyne,322737
2024-06,Newcastle upon Tyne,323270
2024-07,Newcastle upon Tyne,323802
2024-08,Newcastle upon Tyne,324335
2024-09,Newcastle upon Tyne,324868
2024-10,Newcastle upon Tyne,325401
2024-11,Newcastle upon Tyne,325934
2024-12,Newcastle upon Tyne,326467
2025-12,Newcastle upon Tyne,327000
2021-01,Sunderland,275506
2021-02,Sunderland,275630
2021-03,Sunderland,275755
2021-04,Sunderland,275880
2021-05,Sunderland,276004
2021-06,Sunderland,276128
2021-07,Sunderland,276253
2021-08,Sunderland,276378
2021-09,Sunderland,276502
2021-10,Sunderland,276626
2021-11,Sunderland,276751
2021-12,Sunderland,276876
2022-01,Sunderland,277000
2022-02,Sunderland,277125
2022-03,Sunderland,277250
2022-04,Sunderland,277375
2022-05,Sunderland,277500
2022-06,Sunderland,277625
2022-07,Sunderland,277750
2022-08,Sunderland,277875
2022-09,Sunderland,278000
2022-10,Sunderland,278125
2022-11,Sunderland,278250
2022-12,Sunderland,278375
2023-01,Sunderland,278500
2023-02,Sunderland,278625
2023-03,Sunderland,278750
2023-04,Sunderland,278875
2023-05,Sunderland,279000
2023-06,Sunderland,279125
2023-07,Sunderland,279250
2023-08,Sunderland,279375
2023-09,Sunderland,279500
2023-10,Sunderland,279625
2023-11,Sunderland,279750
2023-12,Sunderland,279875
2024-01,Sunderland,280000
2024-02,Sunderland,280125
2024-03,Sunderland,280250
2024-04,Sunderland,280375
2024-05,Sunderland,280500
2024-06,Sunderland,280625
2024-07,Sunderland,280750
2024-08,Sunderland,280875
2024-09,Sunderland,281000
2024-10,Sunderland,281125
2024-11,Sunderland,281250
2024-12,Sunderland,281375
2025-12,Sunderland,281500
2021-01,Middlesbrough,143900
2021-02,Middlesbrough,143950
2021-03,Middlesbrough,144000
2021-04,Middlesbrough,144050
2021-05,Middlesbrough,144100
2021-06,Middlesbrough,144150
2021-07,Middlesbrough,144200
2021-08,Middlesbrough,144250
2021-09,Middlesbrough,144300
2021-10,Middlesbrough,144350
2021-11,Middlesbrough,144400
2021-12,Middlesbrough,144450
2022-01,Middlesbrough,144500
2022-02,Middlesbrough,144542
2022-03,Middlesbrough,144583
2022-04,Middlesbrough,144625
2022-05,Middlesbrough,144667
2022-06,Middlesbrough,144708
2022-07,Middlesbrough,144750
2022-08,Middlesbrough,144792
2022-09,Middlesbrough,144833
2022-10,Middlesbrough,144875
2022-11,Middlesbrough,144917
2022-12,Middlesbrough,144958
2023-01,Middlesbrough,145000
2023-02,Middlesbrough,145042
2023-03,Middlesbrough,145083
2023-04,Middlesbrough,145125
2023-05,Middlesbrough,145167
2023-06,Middlesbrough,145208
2023-07,Middlesbrough,145250
2023-08,Middlesbrough,145292
2023-09,Middlesbrough,145333
2023-10,Middlesbrough,145375
2023-11,Middlesbrough,145417
2023-12,Middlesbrough,145458
2024-01,Middlesbrough,145500
2024-02,Middlesbrough,145542
2024-03,Middlesbrough,145583
2024-04,Middlesbrough,145625
2024-05,Middlesbrough,145667
2024-06,Middlesbrough,145708
2024-07,Middlesbrough,145750
2024-08,Middlesbrough,145792
2024-09,Middlesbrough,145833
2024-10,Middlesbrough,145875
2024-11,Middlesbrough,145917
2024-12,Middlesbrough,145958
2025-12,Middlesbrough,146000
2021-01,Salisbury,41820
